,RK,NAME,TEAM,SALARY,Year
10,RK,NAME,TEAM,SALARY,2019
11,291,Kevin Huerter,Atlanta Hawks,"$2,250,960",2019
12,292,Brandon Jennings,Milwaukee Bucks,"$2,222,803",2019
13,293,Harry Giles III,Sacramento Kings,"$2,207,040",2019
14,294,Darius Miller,New Orleans Pelicans,"$2,205,000",2019
15,295,Juan Hernangomez,Denver Nuggets,"$2,166,360",2019
16,296,Josh Okogie,Minnesota Timberwolves,"$2,160,720",2019
17,297,Raul Neto,Utah Jazz,"$2,150,000",2019
18,298,Terrance Ferguson,Oklahoma City Thunder,"$2,118,840",2019
19,299,Grayson Allen,Utah Jazz,"$2,074,320",2019
20,300,Sean Kilpatrick,Chicago Bulls,"$2,054,856",2019
21,RK,NAME,TEAM,SALARY,2019
22,301,OG Anunoby,Toronto Raptors,"$2,034,120",2019
23,302,Jarrett Allen,Brooklyn Nets,"$2,034,120",2019
24,303,Corey Brewer,Sacramento Kings,"$2,000,000",2019
25,304,Torrey Craig,Denver Nuggets,"$2,000,000",2019
26,305,Chandler Hutchison,Chicago Bulls,"$1,990,520",2019
27,306,Ante Zizic,Cleveland Cavaliers,"$1,952,760",2019
28,307,Shabazz Napier,Brooklyn Nets,"$1,942,422",2019
29,308,Aaron Holiday,Indiana Pacers,"$1,911,960",2019
30,309,Tyler Lydon,Denver Nuggets,"$1,874,640",2019
31,310,Trey Burke,New York Knicks,"$1,795,015",2019
32,RK,NAME,TEAM,SALARY,2019
33,311,DeAndre Liggins,Miami Heat,"$1,795,015",2019
34,312,Malik Beasley,Denver Nuggets,"$1,773,840",2019
35,313,Moritz Wagner,Los Angeles Lakers,"$1,762,080",2019
36,314,Anfernee Simons,Portland Trail Blazers,"$1,760,520",2019
37,315,Nerlens Noel,Oklahoma City Thunder,"$1,757,429",2019
38,316,Caleb Swanigan,Sacramento Kings,"$1,740,000",2019
39,317,Furkan Korkmaz,Philadelphia 76ers,"$1,740,000",2019
40,318,Landry Shamet,Philadelphia 76ers,"$1,703,649",2019
41,319,Caris LeVert,Brooklyn Nets,"$1,702,800",2019
42,320,Jonah Bolden,Philadelphia 76ers,"$1,690,000",2019
0,321,Kyle Kuzma,Los Angeles Lakers,"$1,689,840",2019
1,322,Tony Bradley,Utah Jazz,"$1,679,520",2019
2,323,Derrick White,San Antonio Spurs,"$1,667,160",2019
3,324,Spencer Dinwiddie,Brooklyn Nets,"$1,656,092",2019
4,325,MarShon Brooks,Memphis Grizzlies,"$1,656,092",2019
5,326,Julyan Stone,Chicago Bulls,"$1,656,092",2019
6,327,Josh Hart,Los Angeles Lakers,"$1,655,160",2019
7,328,Robert Williams III,Boston Celtics,"$1,654,440",2019
8,329,Jacob Evans,Golden State Warriors,"$1,644,240",2019
9,330,Pat Connaughton,Milwaukee Bucks,"$1,641,000",2019
10,RK,NAME,TEAM,SALARY,2019
11,331,DeAndre' Bembry,Atlanta Hawks,"$1,634,640",2019
12,332,Dzanan Musa,Brooklyn Nets,"$1,632,240",2019
13,333,James Ennis III,Philadelphia 76ers,"$1,621,415",2019
14,334,Omari Spellman,Atlanta Hawks,"$1,620,480",2019
15,335,Luke Kornet,New York Knicks,"$1,619,260",2019
16,336,Rodions Kurucs,Brooklyn Nets,"$1,618,320",2019
17,337,Richaun Holmes,Phoenix Suns,"$1,600,520",2019
18,338,T.J. McConnell,Philadelphia 76ers,"$1,600,520",2019
19,339,Dwight Buycks,Detroit Pistons,"$1,600,520",2019
20,340,Malachi Richardson,Toronto Raptors,"$1,569,360",2019
21,RK,NAME,TEAM,SALARY,2019
22,341,Jahlil Okafor,New Orleans Pelicans,"$1,567,707",2019
23,342,Willy Hernangomez,Charlotte Hornets,"$1,544,951",2019
24,343,Pascal Siakam,Toronto Raptors,"$1,544,951",2019
25,344,Dejounte Murray,San Antonio Spurs,"$1,544,951",2019
26,345,Georgios Papagiannis,Portland Trail Blazers,"$1,544,951",2019
27,346,Chinanu Onuaku,Portland Trail Blazers,"$1,544,951",2019
28,347,Cheick Diallo,New Orleans Pelicans,"$1,544,951",2019
29,348,Timothe Luwawu-Cabarrot,Oklahoma City Thunder,"$1,544,951",2019
